User ID,name,email,Dept,System1,Department,Cube
R2J0PNN64H944P26B,Vanessa Sanchez,scottkyle@example.com,GOOG,KLSE,Google,979154
R2J0PNN64H944P26B,Vanessa Sanchez,scottkyle@example.com,GOOG,NASDAQ,Google,969122
95F33XSJ5HEK4WCMX,Jordan Harris,uvasquez@example.net,GOOG,KLSE,Google,251175
95F33XSJ5HEK4WCMX,Jordan Harris,uvasquez@example.net,GOOG,NASDAQ,Google,676021
95F33XSJ5HEK4WCMX,Jordan Harris,uvasquez@example.net,GOOG,NYSE,Google,927516
95F33XSJ5HEK4WCMX,Jordan Harris,uvasquez@example.net,GOOG,SGX,Google,300860
4F244SMY5SPZPD94K,Jennifer Jimenez,nathan14@example.net,GOOG,KLSE,Google,535759
4F244SMY5SPZPD94K,Jennifer Jimenez,nathan14@example.net,GOOG,NASDAQ,Google,322610
4F244SMY5SPZPD94K,Jennifer Jimenez,nathan14@example.net,GOOG,NYSE,Google,623457
4F244SMY5SPZPD94K,Jennifer Jimenez,nathan14@example.net,GOOG,SGX,Google,885809
4F244SMY5SPZPD94K,Jennifer Jimenez,nathan14@example.net,GOOG,HKEX,Google,140011
4F244SMY5SPZPD94K,Jennifer Jimenez,nathan14@example.net,GOOG,LSE,Google,219604
4F244SMY5SPZPD94K,Jennifer Jimenez,nathan14@example.net,GOOG,TSE,Google,225254
WWN1A7K6XL3PHBP9F,Rick Cowan,umoore@example.org,GOOG,KLSE,Google,886634
WWN1A7K6XL3PHBP9F,Rick Cowan,umoore@example.org,GOOG,NASDAQ,Google,850299
KDC2AYNB80WVLA7RG,Ernest Campbell,alisontaylor@example.org,GOOG,KLSE,Google,632131
M8DD3C0W9AK97USV4,Eric Yates,whart@example.org,GOOG,KLSE,Google,879468
M8DD3C0W9AK97USV4,Eric Yates,whart@example.org,GOOG,NASDAQ,Google,918484
Z5WAVBLN1KT9CL40A,Patrick Nguyen,dalexander@example.org,GOOG,KLSE,Google,704570
Z5WAVBLN1KT9CL40A,Patrick Nguyen,dalexander@example.org,GOOG,NASDAQ,Google,952653
Z5WAVBLN1KT9CL40A,Patrick Nguyen,dalexander@example.org,GOOG,NYSE,Google,245202
Z5WAVBLN1KT9CL40A,Patrick Nguyen,dalexander@example.org,GOOG,SGX,Google,159969
WY6BJZEL54JXE4T8F,Krista Kelly,angie27@example.com,GOOG,KLSE,Google,817841
WY6BJZEL54JXE4T8F,Krista Kelly,angie27@example.com,GOOG,NASDAQ,Google,762291
WY6BJZEL54JXE4T8F,Krista Kelly,angie27@example.com,GOOG,NYSE,Google,577233
WY6BJZEL54JXE4T8F,Krista Kelly,angie27@example.com,GOOG,SGX,Google,283501
WY6BJZEL54JXE4T8F,Krista Kelly,angie27@example.com,GOOG,HKEX,Google,785599
WY6BJZEL54JXE4T8F,Krista Kelly,angie27@example.com,GOOG,LSE,Google,782075
WY6BJZEL54JXE4T8F,Krista Kelly,angie27@example.com,GOOG,TSE,Google,158230
20211K252ZU1EVEGD,Shannon Ward,marissamullins@example.org,GOOG,KLSE,Google,967741
20211K252ZU1EVEGD,Shannon Ward,marissamullins@example.org,GOOG,NASDAQ,Google,431047
KMAL3TVU4118BV71A,Regina Carter,kyleconner@example.net,GOOG,KLSE,Google,779620
CKMN9W931N868WRDU,William Klein,wilsonjoyce@example.com,GOOG,KLSE,Google,752645
5X5YPK6W1268R9CBP,Katherine Anderson,edwardpittman@example.org,GOOG,KLSE,Google,676971
5X5YPK6W1268R9CBP,Katherine Anderson,edwardpittman@example.org,GOOG,NASDAQ,Google,593974
5X5YPK6W1268R9CBP,Katherine Anderson,edwardpittman@example.org,GOOG,NYSE,Google,462565
5X5YPK6W1268R9CBP,Katherine Anderson,edwardpittman@example.org,GOOG,SGX,Google,405480
5X5YPK6W1268R9CBP,Katherine Anderson,edwardpittman@example.org,GOOG,HKEX,Google,377030
5X5YPK6W1268R9CBP,Katherine Anderson,edwardpittman@example.org,GOOG,LSE,Google,418432
5X5YPK6W1268R9CBP,Katherine Anderson,edwardpittman@example.org,GOOG,TSE,Google,974014
5X5YPK6W1268R9CBP,Katherine Anderson,edwardpittman@example.org,GOOG,SSE,Google,110773
ESTMNH5M8F6XS60DJ,Mary Diaz,kelly59@example.com,GOOG,KLSE,Google,955035
ESTMNH5M8F6XS60DJ,Mary Diaz,kelly59@example.com,GOOG,NASDAQ,Google,984243
ESTMNH5M8F6XS60DJ,Mary Diaz,kelly59@example.com,GOOG,NYSE,Google,896363
ESTMNH5M8F6XS60DJ,Mary Diaz,kelly59@example.com,GOOG,SGX,Google,761216
ESTMNH5M8F6XS60DJ,Mary Diaz,kelly59@example.com,GOOG,HKEX,Google,762567
ESTMNH5M8F6XS60DJ,Mary Diaz,kelly59@example.com,GOOG,LSE,Google,955440
S94AEHMR6M2W4V0BP,Janice Mitchell,samanthagonzalez@example.com,GOOG,KLSE,Google,649438
S94AEHMR6M2W4V0BP,Janice Mitchell,samanthagonzalez@example.com,GOOG,NASDAQ,Google,226346
K3R92PKLXJ5UY3NS4,Krystal Davis,tevans@example.com,GOOG,KLSE,Google,493567
R3A88LT38D5J1L9UX,Crystal Short,chenjennifer@example.org,GOOG,KLSE,Google,679761
R3A88LT38D5J1L9UX,Crystal Short,chenjennifer@example.org,GOOG,NASDAQ,Google,335926
R3A88LT38D5J1L9UX,Crystal Short,chenjennifer@example.org,GOOG,NYSE,Google,433498
R3A88LT38D5J1L9UX,Crystal Short,chenjennifer@example.org,GOOG,SGX,Google,319194
R3A88LT38D5J1L9UX,Crystal Short,chenjennifer@example.org,GOOG,HKEX,Google,448878
R3A88LT38D5J1L9UX,Crystal Short,chenjennifer@example.org,GOOG,LSE,Google,947355
H0HZ4L131MKM3X9S4,Brandy Carter,david30@example.org,GOOG,KLSE,Google,221753
H0HZ4L131MKM3X9S4,Brandy Carter,david30@example.org,GOOG,NASDAQ,Google,316799
H0HZ4L131MKM3X9S4,Brandy Carter,david30@example.org,GOOG,NYSE,Google,120593
H0HZ4L131MKM3X9S4,Brandy Carter,david30@example.org,GOOG,SGX,Google,899573
H0HZ4L131MKM3X9S4,Brandy Carter,david30@example.org,GOOG,HKEX,Google,105506
H0HZ4L131MKM3X9S4,Brandy Carter,david30@example.org,GOOG,LSE,Google,
H0HZ4L131MKM3X9S4,Brandy Carter,david30@example.org,GOOG,TSE,Google,
MMXWYC607LZ7ACCA6,Melissa Turner,rjohnson@example.com,GOOG,KLSE,Google,
MMXWYC607LZ7ACCA6,Melissa Turner,rjohnson@example.com,GOOG,NASDAQ,Google,
MMXWYC607LZ7ACCA6,Melissa Turner,rjohnson@example.com,GOOG,NYSE,Google,
MMXWYC607LZ7ACCA6,Melissa Turner,rjohnson@example.com,GOOG,SGX,Google,
MMXWYC607LZ7ACCA6,Melissa Turner,rjohnson@example.com,GOOG,HKEX,Google,
XJ8RZ4KV5UUSGTUK2,Henry Mckay,justinwilkinson@example.net,GOOG,KLSE,Google,
XJ8RZ4KV5UUSGTUK2,Henry Mckay,justinwilkinson@example.net,GOOG,NASDAQ,Google,
XJ8RZ4KV5UUSGTUK2,Henry Mckay,justinwilkinson@example.net,GOOG,NYSE,Google,
XJ8RZ4KV5UUSGTUK2,Henry Mckay,justinwilkinson@example.net,GOOG,SGX,Google,
GLTMJSS6X7P6NBEDL,Samuel Johnson,chelsea65@example.org,GOOG,KLSE,Google,
GLTMJSS6X7P6NBEDL,Samuel Johnson,chelsea65@example.org,GOOG,NASDAQ,Google,
GLTMJSS6X7P6NBEDL,Samuel Johnson,chelsea65@example.org,GOOG,NYSE,Google,
GLTMJSS6X7P6NBEDL,Samuel Johnson,chelsea65@example.org,GOOG,SGX,Google,
GLTMJSS6X7P6NBEDL,Samuel Johnson,chelsea65@example.org,GOOG,HKEX,Google,
GLTMJSS6X7P6NBEDL,Samuel Johnson,chelsea65@example.org,GOOG,LSE,Google,
GLTMJSS6X7P6NBEDL,Samuel Johnson,chelsea65@example.org,GOOG,TSE,Google,
GLTMJSS6X7P6NBEDL,Samuel Johnson,chelsea65@example.org,GOOG,SSE,Google,
H9GXAA6K888E4NRE0,Sheri Humphrey,cody21@example.com,GOOG,KLSE,Google,
H9GXAA6K888E4NRE0,Sheri Humphrey,cody21@example.com,GOOG,NASDAQ,Google,
H9GXAA6K888E4NRE0,Sheri Humphrey,cody21@example.com,GOOG,NYSE,Google,
H9GXAA6K888E4NRE0,Sheri Humphrey,cody21@example.com,GOOG,SGX,Google,
H9GXAA6K888E4NRE0,Sheri Humphrey,cody21@example.com,GOOG,HKEX,Google,
H9GXAA6K888E4NRE0,Sheri Humphrey,cody21@example.com,GOOG,LSE,Google,
H9GXAA6K888E4NRE0,Sheri Humphrey,cody21@example.com,GOOG,TSE,Google,
H9GXAA6K888E4NRE0,Sheri Humphrey,cody21@example.com,GOOG,SSE,Google,
9JDC4T287TAUSHZUA,Jerry Good,joneskeith@example.org,GOOG,KLSE,Google,
9JDC4T287TAUSHZUA,Jerry Good,joneskeith@example.org,GOOG,NASDAQ,Google,
D6DN8Z064VGPV939K,Karla Stephenson,sonya72@example.net,GOOG,KLSE,Google,
D6DN8Z064VGPV939K,Karla Stephenson,sonya72@example.net,GOOG,NASDAQ,Google,
D6DN8Z064VGPV939K,Karla Stephenson,sonya72@example.net,GOOG,NYSE,Google,
D6DN8Z064VGPV939K,Karla Stephenson,sonya72@example.net,GOOG,SGX,Google,
D6DN8Z064VGPV939K,Karla Stephenson,sonya72@example.net,GOOG,HKEX,Google,
D6DN8Z064VGPV939K,Karla Stephenson,sonya72@example.net,GOOG,LSE,Google,
D6DN8Z064VGPV939K,Karla Stephenson,sonya72@example.net,GOOG,TSE,Google,
D6DN8Z064VGPV939K,Karla Stephenson,sonya72@example.net,GOOG,SSE,Google,
A7GS8C5E198FZ575E,Jennifer Smith,jason68@example.org,GOOG,KLSE,Google,
A7GS8C5E198FZ575E,Jennifer Smith,jason68@example.org,GOOG,NASDAQ,Google,
A7GS8C5E198FZ575E,Jennifer Smith,jason68@example.org,GOOG,NYSE,Google,
A7GS8C5E198FZ575E,Jennifer Smith,jason68@example.org,GOOG,SGX,Google,
A7GS8C5E198FZ575E,Jennifer Smith,jason68@example.org,GOOG,HKEX,Google,
A7GS8C5E198FZ575E,Jennifer Smith,jason68@example.org,GOOG,LSE,Google,
PDGKNKAS8DHBWWT65,Rachel Lewis,jerry16@example.net,GOOG,KLSE,Google,
PDGKNKAS8DHBWWT65,Rachel Lewis,jerry16@example.net,GOOG,NASDAQ,Google,
AHRHK8UR42B38FDJ2,Xavier Johnson,katherinelane@example.com,GOOG,KLSE,Google,
AHRHK8UR42B38FDJ2,Xavier Johnson,katherinelane@example.com,GOOG,NASDAQ,Google,
AHRHK8UR42B38FDJ2,Xavier Johnson,katherinelane@example.com,GOOG,NYSE,Google,
9EHRMEGM9TV28DHTR,Barbara Brown,perezmadison@example.com,GOOG,KLSE,Google,
9EHRMEGM9TV28DHTR,Barbara Brown,perezmadison@example.com,GOOG,NASDAQ,Google,
9EHRMEGM9TV28DHTR,Barbara Brown,perezmadison@example.com,GOOG,NYSE,Google,
0T8GS3777WJ0VPTRE,Christine Rodriguez,qmoore@example.org,GOOG,KLSE,Google,
0T8GS3777WJ0VPTRE,Christine Rodriguez,qmoore@example.org,GOOG,NASDAQ,Google,
0T8GS3777WJ0VPTRE,Christine Rodriguez,qmoore@example.org,GOOG,NYSE,Google,
0T8GS3777WJ0VPTRE,Christine Rodriguez,qmoore@example.org,GOOG,SGX,Google,
0T8GS3777WJ0VPTRE,Christine Rodriguez,qmoore@example.org,GOOG,HKEX,Google,
VH07X5DS49V168AHN,Nicholas Moore,paulroberts@example.net,GOOG,KLSE,Google,
VH07X5DS49V168AHN,Nicholas Moore,paulroberts@example.net,GOOG,NASDAQ,Google,
VH07X5DS49V168AHN,Nicholas Moore,paulroberts@example.net,GOOG,NYSE,Google,
